Rating,Name,Developer,ReleaseDate,Votes,PositiveVotesPercent,Price,Action,Adventure,FPS,Open World,PvE,PvP,Sandbox,Sci-fi,Simulation
1,-1.5502715555803503,-1.0471483777542534,-0.5535054749440088,-0.0523482481817945,0.9,3.717122019949334,0,0,0,1,0,0,1,0,1
1,-1.54569848314501,-1.040534128451315,-0.2661602527392404,0.5616297578885685,0.89,0.5781714188527639,1,1,1,1,1,1,0,0,0
1,-1.54112541070967,-1.2125046103277164,0.3085301916702965,1.697482677226115,0.92,1.4997658407836418,1,0,0,1,0,1,0,0,0
-1,-1.5365523382743296,-1.0339198791483764,-0.8408506971487774,1.8488399746455988,0.98,-1.0806985406228162,1,0,0,0,0,0,1,0,0
1,-1.5319792658389892,-1.027305629845438,-1.4155411415583143,0.0440442125662976,0.94,-0.3120887927324641,1,1,0,1,0,0,0,0,0
1,-1.5274061934036491,-1.0206913805424995,-0.8408506971487774,-0.0518804160406881,0.78,2.8724807322496844,1,1,0,1,0,1,1,0,0
1,-1.5228331209683088,-1.014077131239561,0.8832206360798335,1.973729821555834e-17,0.8124027777777779,1.0389686298182028,1,1,0,0,0,0,0,0,0
-1,-1.5182600485329685,-1.0074628819366225,0.8832206360798335,0.2027644262995906,0.96,0.53209169775622,0,1,0,1,0,0,1,1,1
1,-1.513686976097628,-1.0008486326336838,-0.2661602527392404,1.6276777698461369,0.84,1.4997658407836418,1,1,1,1,0,0,0,1,0
1,-1.509113903662288,-0.9942343833307452,-1.4155411415583143,0.361109286338275,0.91,1.0389686298182028,1,0,0,1,0,0,1,0,1
1,-1.5045408312269477,-0.9876201340278068,0.8832206360798335,-0.1294888723324941,0.96,-0.6203621268683429,0,1,0,1,0,0,1,1,0
1,-1.4999677587916074,-0.9942343833307452,-0.2661602527392404,-0.0379080107565957,0.91,1.0389686298182028,0,0,0,0,0,0,1,0,1
-1,-1.4953946863562673,-0.9810058847248684,-1.9902315859678512,0.0962428557056818,0.83,-0.3434230030781141,1,1,0,1,1,1,0,0,0
-1,-1.490821613920927,-0.9743916354219296,0.8832206360798335,-0.2148763979473494,0.79,1.4997658407836418,1,1,0,1,0,0,0,0,0
-1,-1.4862485414855866,-0.9677773861189912,0.8832206360798335,-0.2389425536712446,0.87,-0.993147070539383,0,0,0,0,0,0,1,0,1
1,-1.4816754690502465,-1.192661862418901,0.021184969465528,-0.1578607157271539,0.89,5.358942482619193,0,1,0,1,1,0,1,0,1
-1,-1.4771023966149062,-0.9611631368160528,-1.1281959193535458,-0.0849224209834862,0.75,-0.8042202140435529,1,1,0,1,0,1,0,0,1
1,-1.4725293241795658,-0.9545488875131142,-0.8408506971487774,-0.1784752494332346,0.91,-0.2346748612902704,0,1,0,0,0,0,0,0,1
1,-1.4679562517442255,-0.9479346382101757,0.3085301916702965,-0.1254878195443104,0.97,0.2993891062186731,0,0,0,0,0,0,1,0,1
1,-1.4633831793088854,-0.9413203889072372,0.8832206360798335,1.973729821555834e-17,0.8124027777777779,1.0389686298182028,0,0,0,0,0,0,0,0,1
1,-1.458810106873545,-0.9347061396042988,-1.9902315859678512,0.1728422089489385,0.87,-1.2645566277980265,0,1,0,0,0,0,1,0,1
1,-1.4542370344382047,-0.9280918903013602,-0.8408506971487774,-0.0794716325487342,0.85,-6.671762777090143e-17,1,1,0,1,0,0,0,0,0
-1,-1.4496639620028646,-0.9214776409984216,-1.4155411415583143,1.535909231422934,0.98,-0.6199013296573774,0,0,0,1,0,0,1,0,1
-1,-1.4450908895675243,-0.9148633916954833,0.8832206360798335,-0.2365625936510809,0.96,-0.3434230030781141,0,1,0,0,0,0,0,0,0
1,-1.440517817132184,-0.9082491423925446,0.8832206360798335,-0.1168193251622971,0.94,0.0712944867907808,1,0,0,0,0,0,0,0,0
-1,-1.4359447446968436,-0.901634893089606,0.595875413875065,-0.2237624886740634,0.73,-6.671762777090143e-17,1,1,0,1,0,0,1,0,0
1,-1.4313716722615035,-0.8950206437866676,0.8832206360798335,1.973729821555834e-17,0.8124027777777779,1.0389686298182028,1,1,0,1,0,0,0,0,0
-1,-1.4267985998261632,-0.888406394483729,0.8832206360798335,-0.2377512136840084,0.78,1.0389686298182028,1,1,0,0,0,0,0,0,0
-1,-1.4222255273908229,-0.8817921451807905,-1.1281959193535458,0.1506555416523954,0.77,-1.2645566277980265,1,0,0,0,1,1,0,0,1
