Rating,Name,Developer,ReleaseDate,Votes,PositiveVotesPercent,Price,Action,Adventure,FPS,Open World,PvE,PvP,Sandbox,Sci-fi,Simulation
Very Positive,-1.5228331209683088,-1.014077131239561,0.8832206360798046,9.892134214539045e-19,0.0,1.1309749692981792,1,1,0,0,0,0,0,0,0
Overwhelmingly Positive,-1.5182600485329685,-1.0074628819366225,0.8832206360798046,0.20791614571924705,0.9600245887134871,0.579211320017387,0,1,0,1,0,0,1,1,1
Very Positive,-1.5136869760976281,-1.0008486326336838,-0.2661602527392695,1.6690328503644016,0.17950210386503146,1.6325782868261725,1,1,1,1,0,0,0,1,0
Very Positive,-1.509113903662288,-0.9942343833307453,-1.4155411415583437,0.37028413893445206,0.6348068866932977,1.1309749692981792,1,0,0,1,0,0,1,0,1
Very Positive,-1.5045408312269477,-0.9876201340278068,0.8832206360798046,-0.1327788495262208,0.9600245887134871,-0.675298577120124,0,1,0,1,0,0,1,1,0
Very Positive,-1.4999677587916074,-0.9942343833307453,-0.2661602527392695,-0.03887115522300598,0.6348068866932977,1.1309749692981792,0,0,0,0,0,0,1,0,1
Mostly Positive,-1.4953946863562673,-0.9810058847248683,-1.9902315859678807,0.09868813764093397,0.11445856346099342,-0.37383498328580017,1,1,0,1,1,1,0,0,0
Mostly Positive,-1.490821613920927,-0.9743916354219297,0.8832206360798046,-0.2203358512268689,-0.14571559815515797,1.6325782868261725,1,1,0,1,0,0,0,0,0
Positive,-1.4862485414855866,-0.9677773861189912,0.8832206360798046,-0.2450134656965703,0.3746327250771455,-1.0810956610002704,0,0,0,0,0,0,1,0,1
Very Positive,-1.4816754690502463,-1.192661862418901,0.021184969465499012,-0.16187154804944126,0.5047198058852216,5.833506071123115,0,1,0,1,1,0,1,0,1
Mixed,-1.4771023966149062,-0.9611631368160527,-1.128195919353575,-0.08708007996405343,-0.4058897597713101,-0.875438300813793,1,1,0,1,0,1,0,0,1
Very Positive,-1.4725293241795658,-0.9545488875131142,-0.8408506971488067,-0.1830098437169217,0.6348068866932977,-0.2554566003491937,0,1,0,0,0,0,0,0,1
Very Positive,-1.4679562517442255,-0.9479346382101757,0.3085301916702675,-0.12867614033940675,1.025068129117525,0.32590164466575017,0,0,0,0,0,0,1,0,1
